"","url","observation","date","id_code","count","max_at_once","notes"
"2377","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","971 solanders petrel p. solandri 2 (1)","26th-june-2005","971","2","1",NA
"2378","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","083 fairy prion pachyptila turtur 130+ (125+)","26th-june-2005","083","130+","125",NA
"2379","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","068 fluttering shearwater puffinus gavia 6 (3)","26th-june-2005","068","6","3",NA
"2380","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","917 huttons shearwater p. huttoni 1","26th-june-2005","917","1",NA,"1"
"2381","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","071 short-tailed shearwater p. tenuirostris 1","26th-june-2005","071","1",NA,"1"
"2382","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","086 wandering albatross diomedea exulans 1","26th-june-2005","086","1",NA,"1"
"2383","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","847 gibsons albatross d. gibsoni 2 (1)","26th-june-2005","847","2","1",NA
"2384","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","088 black-browed albatross thalassarche melanophrys 60+ (40+)","26th-june-2005","088","60+","40",NA
"2385","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","859 campbell albatross t. impavida 15 (9)","26th-june-2005","859","15","9",NA
"2386","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","861 shy albatross t. cauta 1","26th-june-2005","861","1",NA,"1"
"2387","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","861 white-capped albatross t. steadi 1","26th-june-2005","861","1",NA,"1"
"2388","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","864indic yellow-nosed albatross t.carteri 94 (55)","26th-june-2005","864","94","55",NA
"2389","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","063 wilsons storm-petrel oceanites oceanicus 16 (14)","26th-june-2005","063","16","14",NA
"2390","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","104 australasian gannet morus serrator 10 (5)","26th-june-2005","104","10","5",NA
"2391","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 1","26th-june-2005","106","1",NA,"1"
"2392","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","980 brown skua catharacta lonnbergi 6 (2)","26th-june-2005","980","6","2",NA
"2393","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","981 kelp gull larus dominicanus 6 (4)","26th-june-2005","981","6","4",NA
"2394","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","125 silver gull l. novaehollandiae 325+ (250+)","26th-june-2005","125","325+","250",NA
"2395","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","114 white-fronted tern sterna striata 1","26th-june-2005","114","1",NA,"1"
"2396","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","115 crested tern s. bergii 16 (7)in the harbour:","26th-june-2005","115","16","7",":"
"2397","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","096 great cormorant phalacrocorax carbo 2","26th-june-2005","096","2",NA,"2"
"2398","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","097 little black cormorant p.sulcirostris 1","26th-june-2005","097","1",NA,"1"
"2399","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","100 little pied cormorant p. melanoleucos 1","26th-june-2005","100","1",NA,"1"
"2400","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 5 (5)","26th-june-2005","106","5","5",NA
"2401","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","005 little penguin eudyptula minor 1","25th-june-2005","005","1",NA,"1"
"2402","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","937northern giant-petrel macronectes halli 2 (2)","25th-june-2005","937","2","2",NA
"2403","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","080 cape petrel daption capense australe 1","25th-june-2005","080","1",NA,"1"
"2404","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","075 great-winged petrel pterodroma m. macroptera 2 (2)","25th-june-2005","075","2","2",NA
"2405","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","971 solanders petrel p. solandri 1","25th-june-2005","971","1",NA,"1"
"2406","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","083 fairy prion pachyptila turtur 35+ (5)","25th-june-2005","083","35+","5",NA
"2407","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","068 fluttering shearwater puffinus gavia 325+ (300+)","25th-june-2005","068","325+","300",NA
"2408","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","917 huttons shearwater p. huttoni 2 (1)","25th-june-2005","917","2","1",NA
"2409","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","086 wandering albatross diomedea exulans 3 (3)","25th-june-2005","086","3","3",NA
"2410","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","847 gibsons albatross d. gibsoni 3 (2)","25th-june-2005","847","3","2",NA
"2411","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","088 black-browed albatross thalassarche melanophrys 35+ (21)","25th-june-2005","088","35+","21",NA
"2412","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","859 campbell albatross t. impavida 12 (7)","25th-june-2005","859","12","7",NA
"2413","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","861 shy albatross t. cauta 2 (1)","25th-june-2005","861","2","1",NA
"2414","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","861 white-capped albatross t. steadi 1","25th-june-2005","861","1",NA,"1"
"2415","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","864 indic yellow-nosed albatross t.carteri 80+ (75+)","25th-june-2005","864","80+","75",NA
"2416","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","063 wilson s storm-petrel oceanites oceanicus 1","25th-june-2005","063","1",NA,"1"
"2417","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","104 australasian gannet morus serrator 33 (25)","25th-june-2005","104","33","25",NA
"2418","http://www.sossa-international.org/forum/content.php?252-25th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 2 (2)","25th-june-2005","106","2","2",NA
